ticker,trade_date,open_price,close_price,high,low,adjusted_close,volume
AAPL,2024-12-05T05:00:00.000Z,243.9900054932,243.0399932861,244.5399932861,242.1300048828,241.9457397461,40033900
AAPL,2024-12-06T05:00:00.000Z,242.9100036621,242.8399963379,244.6300048828,242.0800018311,241.7466430664,36870600
AAPL,2024-12-09T05:00:00.000Z,241.8300018311,246.75,247.2400054932,241.75,245.6390380859,44649200
AAPL,2024-12-10T05:00:00.000Z,246.8899993896,247.7700042725,248.2100067139,245.3399963379,246.6544342041,36914800
AAPL,2024-12-11T05:00:00.000Z,247.9600067139,246.4900054932,250.8000030518,246.2599945068,245.3802185059,45205800
AAPL,2024-12-12T05:00:00.000Z,246.8899993896,247.9600067139,248.7400054932,245.6799926758,246.8435821533,32777500
AAPL,2024-12-13T05:00:00.000Z,247.8200073242,248.1300048828,249.2899932861,246.2400054932,247.0128326416,33155300
AAPL,2024-12-16T05:00:00.000Z,247.9900054932,251.0399932861,251.3800048828,247.6499938965,249.9097137451,51694800
AAPL,2024-12-17T05:00:00.000Z,250.0800018311,253.4799957275,253.8300018311,249.7799987793,252.3387298584,51356400
AAPL,2024-12-18T05:00:00.000Z,252.1600036621,248.0500030518,254.2799987793,247.7400054932,246.9331817627,56774100
AAPL,2024-12-19T05:00:00.000Z,247.5,249.7899932861,252.0,247.0899963379,248.6653442383,60882300
AAPL,2024-12-20T05:00:00.000Z,248.0399932861,254.4900054932,255.0,245.6900024414,253.3441772461,147495300
AAPL,2024-12-23T05:00:00.000Z,254.7700042725,255.2700042725,255.6499938965,253.4499969482,254.1206817627,40858800
AAPL,2024-12-24T05:00:00.000Z,255.4900054932,258.200012207,258.2099914551,255.2899932861,257.0374755859,23234700
AAPL,2024-12-26T05:00:00.000Z,258.1900024414,259.0199890137,260.1000061035,257.6300048828,257.8537597656,27237100
AAPL,2024-12-27T05:00:00.000Z,257.8299865723,255.5899963379,258.700012207,253.0599975586,254.4392089844,42355300
AAPL,2024-12-30T05:00:00.000Z,252.2299957275,252.1999969482,253.5,250.75,251.0644836426,35557500
